u,v,x,y,z
1200.04,1458.84,460.267,368.105,1265.32
1200.04,1458.84,464.148,371.352,1273.75
1034.79,946.374,457.943,-55.3612,1787.88
972.787,734.612,420.168,-318.849,1926.78
1016.09,734.876,466.926,-314.658,1900.35
970.794,925.376,145.381,-102.941,669.387
1055.86,816.844,350.078,-181.686,1291.47
994.699,775.083,440.183,-265.648,1900.67
971.637,882.688,214.052,-124.742,986.227
1059.68,797.144,508.828,-234.302,1863.17
1200.04,1458.84,466.153,373.525,1279.51
1077.21,734.034,538.17,-313.114,1890.22
1120.83,734.219,589.956,-311.517,1887.33
1122.24,794.493,578.776,-235.059,1849.13
988.293,861.357,294.499,-145.308,1295.07
1123.52,818.154,573.242,-205.382,1826.78
1012.72,795.098,819.137,-336.441,3377.37
971.834,882.689,278.611,-127.4,1286.39
1035.56,880.577,343.742,-128.522,1338.76
1035.56,880.577,470.138,-133.037,1829.18
971.834,882.689,398.134,-132.321,1842.15
1035.56,880.577,609.79,-138.331,2387.96
971.751,863.657,716.067,-186.647,3320.48
1015.93,863.626,454.923,-154.513,1860.59
989.796,752.65,434.528,-293.421,1900.24
991.1,734.253,441.908,-318.634,1924.88
992.125,944.94,412.972,-57.6454,1805.14
1117.72,908.164,548.445,-98.3217,1772.29
1078.15,879.564,361.108,-127.887,1266.78
1035.74,866.568,430.077,-147.057,1676.26
1141.25,774.703,598.705,-257.845,1841.23
1034.59,945.024,456.505,-57.1283,1782.42
1016.6,734.407,469.274,-316.176,1909.37
971.768,820.678,409.18,-209.23,1888.18
1122.55,923.548,549.177,-80.5546,1757.15
1056.58,928.516,483.724,-75.7547,1790.24
989.511,752.365,434.075,-293.817,1900.58
1038.82,757.766,486.647,-283.275,1871.24
995.006,817.111,299.393,-182.536,1291.06
1037.49,822.468,335.599,-177.419,1294.83
1052.61,795.283,501.341,-237.041,1867.68
989.814,801.731,435.302,-233.116,1905.54
1101.66,771.707,1158.27,-424.493,3892.83
1030.99,880.511,325.296,-128.041,1276.79
1139.23,841.693,588.435,-176.603,1818.25
989.814,801.731,772.592,-323.871,3391.76
971.426,864.844,214.164,-136.363,987.062
991.727,921.141,415.07,-85.762,1813.77
995.122,779.617,-1325.13,315.819,-5750.83
987.178,816.384,740.002,-285.643,3273.9
987.577,900.548,224.124,-112.89,987.202
987.082,800.01,432.449,-235.409,1906.96
987.291,836.874,296.135,-166.505,1305.13
987.434,865.603,224.819,-135.717,990.337
988.822,751.001,433.433,-295.507,1900.54
994.945,751.039,440.135,-294.935,1896.66
1072.86,843.461,402.241,-163.341,1428.19
988.873,759.162,433.737,-285.552,1901.8
1123.31,757.846,584.435,-280.088,1860.04
995.085,773.49,440.891,-267.521,1899.74
1079.27,929.599,502.228,-74.4616,1767.07
1102.92,751.638,563.874,-289.011,1870.29
1101.59,927.601,232.942,-98.4405,757.961
1059.77,928.73,491.094,-75.0758,1806.9
993.795,931.029,413.226,-74.3365,1795.25
986.444,931.011,405.519,-74.4687,1799.32
986.418,921.126,406.03,-86.1281,1801.57
988.518,837.291,421.747,-187.203,1858.43
1061.55,781.236,-2431.31,545.073,-9023.41
1039.51,771.309,487.769,-266.893,1872.59
988.191,780.801,779.807,-373.48,3438.52
996.155,901.401,229.448,-112.206,985.627
1030.49,931.122,164.557,-100.47,637.467
1081.71,931.248,500.978,-72.8596,1750.23
996.013,866.875,230.147,-134.726,988.699
1030.49,931.122,449.046,-73.7228,1777.89
986.355,901.366,181.33,-113.04,800.755
1060.23,920.351,489.831,-85.1477,1799.04
983.964,920.131,411.051,-86.7822,1840.94
983.995,931.994,398.184,-73.7763,1783.29
995.75,929.058,423.155,-75.838,1832.1
995.658,899.425,424.601,-111.491,1838.36
995.613,887.582,425.065,-125.784,1840.39
986.604,846.14,730.887,-221.463,3247.09
995.523,866.872,425.71,-150.809,1843.27
983.897,899.382,289.097,-113.037,1288.62
986.604,846.14,416.674,-176.278,1850.42
983.816,878.654,289.642,-130.639,1291.1
986.718,869.79,292.143,-138.105,1291.2
995.523,866.872,299.082,-140.369,1288.98
986.234,781.279,431.048,-258.657,1906.57
995.051,781.333,440.733,-257.937,1900.99
995.245,813.728,427.715,-214.83,1844.51
1007.17,846.246,308.587,-157.546,1287.32
1036.65,875.924,468.794,-138.444,1818.08
1025.11,929.134,454.145,-75.2939,1815.25
986.359,801.888,431.387,-233.164,1907.89
995.176,801.94,441.079,-232.517,1902.3
995.688,908.311,424.21,-100.781,1836.65
1039.2,802.198,487.297,-229.502,1876.43
986.649,855.005,292.438,-150.676,1292.56
1085.32,769.503,-1216.56,230.144,-4304.94
1001.54,900.038,428.77,-110.61,1822.99
1008.37,850.386,437.709,-169.798,1825.44
1007.9,769.06,453.691,-272.123,1892.81
983.769,868.001,285.588,-139.434,1276.38
1008.37,850.386,312.836,-154.543,1304.06
994.458,892.906,230.217,-117.765,992.504
986.96,804.249,415.494,-226.159,1839.17
